id,status,province,district,tehsil,city,problem
c51244dd-8970-4ed9-9298-524e8746ef0d,draft,Punjab,Chakwal,Talagang,Talagang,Tehsil does not belong to the selected district in built-in dataset
c571d38f-f138-49cc-af34-1386f2309da9,needs_correction,Punjab,Chakwal,Talagang,کوٹہڑہ نزد چینجی,Tehsil does not belong to the selected district in built-in dataset
c7c4ff1a-58b3-4a68-aa97-442c16f9d078,submitted,Punjab,Rawalpindi,ٹیکسلا,ٹیکسلا واہ فیکٹری,Tehsil does not belong to the selected district in built-in dataset
c8198dda-bfea-42ac-802a-3e3468bacaee,draft,Sindh,Central Karachi,P. I.B colony,Karachi,Tehsil does not belong to the selected district in built-in dataset
c8e244fc-6364-4b50-b81d-0ac03c7fd9b3,draft,Sindh,Sanghar,مٹھو کھوسو,ٹنڈو آدم,Tehsil does not belong to the selected district in built-in dataset
c9ff11b5-8b70-4b87-980d-36e2553881be,admin_approved,Khyber Pakhtunkhwa,Kohistan Upper,Pattan,سیری,Tehsil does not belong to the selected district in built-in dataset
cb7fc96d-f0b6-4e96-ab0b-edbd53be54c8,draft,Sindh,East Karachi,Korangi Town,Karachi,Tehsil does not belong to the selected district in built-in dataset
cc858686-f7c2-4db3-821a-d478b71d6542,admin_approved,Khyber Pakhtunkhwa,Buner,Gadazai,Sawari,Tehsil does not belong to the selected district in built-in dataset
ccb41606-3ced-4404-a601-68dd3e5dc41c,draft,Khyber Pakhtunkhwa,Chitral Upper,Torkhow mulkhow,Oweer,Tehsil does not belong to the selected district in built-in dataset
ccb684c1-424b-4bef-a7ce-d28bae7286d8,draft,Khyber Pakhtunkhwa,Shangla,مارتونگ، پورن,گاؤں دانکول,Tehsil does not belong to the selected district in built-in dataset
d244f5d9-7d1f-4926-9a2f-75d757f5b68b,admin_approved,Sindh,East Karachi,Korangi Town,Gulzar colony,Tehsil does not belong to the selected district in built-in dataset
d2d17201-9576-45da-9fde-d6977094ecae,draft,Khyber Pakhtunkhwa,Buner,Gadezai,پاچاکلے پیربابا,Tehsil does not belong to the selected district in built-in dataset
d435c1bc-8e33-4bbc-8b86-fa2e4839bc88,draft,Khyber Pakhtunkhwa,Buner,Gadazai,Kala khela po pirbaba buner,Tehsil does not belong to the selected district in built-in dataset
d4ea1798-ef2b-4633-95ec-a78701bd5343,needs_correction,Khyber Pakhtunkhwa,Buner,gadezi,pir baba,Tehsil does not belong to the selected district in built-in dataset
d62b85ec-2db7-43ad-ae58-1d482416c753,draft,Khyber Pakhtunkhwa,Buner,طوطالی,Kankoway,Tehsil does not belong to the selected district in built-in dataset
d6b06ef7-d526-456f-a67e-0bb35e32941a,supervisor_approved,Khyber Pakhtunkhwa,Swat,مٹہ,مٹہ,Tehsil does not belong to the selected district in built-in dataset
d75d5fa8-a318-4d3d-97f1-b8a6b245e031,draft,Punjab,Chakwal,Talagang,Mehmoodwala,Tehsil does not belong to the selected district in built-in dataset
d7b7c8e5-d261-4375-8188-8c23bfd5794b,draft,Punjab,Chakwal,Talagang,Talagang,Tehsil does not belong to the selected district in built-in dataset
